Ngày,Mã hóa đơn,Mã khách hàng,Mã cửa hàng,Mã sản phẩm,Danh mục,Số lượng,Đơn giá,Giá vốn,Doanh thu,Tồn kho,Mã khuyến mãi,Loại khuyến mãi,Giảm giá,Ngày bắt đầu khuyến mãi,Ngày kết thúc khuyến mãi
2025-01-01 11:59:00,HD0000001,KH02418,CH01,SP066,Chăm sóc cá nhân,3,44500,26705,103850,491,,,,,
2025-01-01 11:59:00,HD0000001,KH02418,CH01,SP062,Chăm sóc cá nhân,4,67000,37895,208477,216,,,,,
2025-01-01 12:01:00,HD0000002,KH01168,CH01,SP007,Đồ uống,1,30000,23037,26975,352,,,,,
2025-01-01 12:01:00,HD0000002,KH01168,CH01,SP054,Mẹ & bé,1,173500,135435,156006,343,,,,,
2025-01-01 13:36:00,HD0000003,KH02374,CH02,SP011,Bánh kẹo,4,36000,23575,115889,470,,,,,
2025-01-01 13:03:00,HD0000004,KH00345,CH01,SP021,Thực phẩm khô,1,65000,49625,51582,360,,,,,
2025-01-01 13:03:00,HD0000004,KH00345,CH01,SP034,Hóa mỹ phẩm,1,145000,82401,115068,159,,,,,
2025-01-01 12:44:00,HD0000005,KH02428,CH01,SP066,Chăm sóc cá nhân,1,44500,26705,36913,490,,,,,
2025-01-01 14:12:00,HD0000006,KH01168,CH01,SP052,Văn phòng phẩm,1,35000,25680,31471,310,,,,,
2025-01-01 14:12:00,HD0000006,KH01168,CH01,SP045,Đồ gia dụng,1,157500,115074,141619,297,,,,,
2025-01-01 14:12:00,HD0000006,KH01168,CH01,SP038,Đồ gia dụng,1,74500,55041,66988,190,,,,,
2025-01-01 13:24:00,HD0000007,KH02374,CH01,SP013,Bánh kẹo,5,14500,10565,58347,493,,,,,
2025-01-01 19:37:00,HD0000008,KH02418,CH01,SP034,Hóa mỹ phẩm,1,145000,82401,112796,158,,,,,
2025-01-01 09:28:00,HD0000009,KH02428,CH02,SP047,Văn phòng phẩm,1,48000,35404,39816,338,,,,,
2025-01-01 09:28:00,HD0000009,KH02428,CH02,SP056,Mẹ & bé,1,94000,61160,77973,258,,,,,
2025-01-01 16:16:00,HD0000010,KH01443,CH01,SP044,Đồ gia dụng,1,159000,121775,127688,333,,,,,
2025-01-01 11:01:00,HD0000011,KH02428,CH01,SP029,Hóa mỹ phẩm,2,27500,20130,45623,384,,,,,
2025-01-01 08:42:00,HD0000012,KH00900,CH01,SP066,Chăm sóc cá nhân,1,44500,26705,45022,489,,,,,
2025-01-01 08:42:00,HD0000012,KH00900,CH01,SP031,Hóa mỹ phẩm,1,44000,26872,44516,193,,,,,
2025-01-01 09:04:00,HD0000013,KHACH_LE,CH02,SP059,Mẹ & bé,2,52500,41576,105000,398,,,,,
2025-01-01 09:04:00,HD0000013,KHACH_LE,CH02,SP013,Bánh kẹo,1,14500,10565,14500,492,,,,,
2025-01-01 09:04:00,HD0000013,KHACH_LE,CH02,SP066,Chăm sóc cá nhân,2,44500,26705,89000,487,,,,,
2025-01-01 09:04:00,HD0000013,KHACH_LE,CH02,SP027,Thực phẩm khô,5,56500,41015,282500,257,,,,,
2025-01-01 12:47:00,HD0000014,KH01443,CH02,SP059,Mẹ & bé,3,52500,41576,126483,395,,,,,
2025-01-01 15:00:00,HD0000015,KH01168,CH01,SP059,Mẹ & bé,1,52500,41576,47206,394,,,,,
2025-01-01 15:00:00,HD0000015,KH01168,CH01,SP066,Chăm sóc cá nhân,1,44500,26705,40013,486,,,,,
2025-01-01 11:23:00,HD0000016,KH01608,CH01,SP030,Hóa mỹ phẩm,2,82500,59214,126618,407,,,,,
2025-01-01 16:21:00,HD0000017,KH02374,CH01,SP062,Chăm sóc cá nhân,3,67000,37895,161762,213,,,,,
2025-01-01 16:21:00,HD0000017,KH02374,CH01,SP064,Chăm sóc cá nhân,1,58000,30893,46678,432,,,,,
2025-01-01 15:13:00,HD0000018,KHACH_LE,CH01,SP053,Văn phòng phẩm,1,20000,13022,20000,284,,,,,
2025-01-01 19:43:00,HD0000019,KH02418,CH02,SP062,Chăm sóc cá nhân,3,67000,37895,156358,210,,,,,
2025-01-01 19:43:00,HD0000019,KH02418,CH02,SP064,Chăm sóc cá nhân,1,58000,30893,45118,431,,,,,
2025-01-01 17:58:00,HD0000020,KH02418,CH01,SP027,Thực phẩm khô,4,56500,41015,175806,253,,,,,
2025-01-01 20:36:00,HD0000021,KH00900,CH02,SP007,Đồ uống,1,30000,23037,30352,351,,,,,
